"time","T","der(T)","T_out"
1014,18.00689009038615,-0.007797791494041402,10.20909859634475
1015,17.99909300212536,-0.007796188818531608,10.20290418359375
1016,17.99129755843534,-0.007794496550380107,10.19680100805523
1017,17.98350384878579,-0.007792714662978725,10.19078918580707
1018,17.9757119626629,-0.007790843131473222,10.18486883118968
1019,17.96792198956739,-0.007788881932763566,10.17904005680382
1020,17.96013401901256,-0.007786831045504085,10.17330297350847
1021,17.9523481599833,-0.007784690469564595,10.16765769041871
1022,17.94456449932515,-0.007782460184421515,10.16210431490364
1023,17.93678311525119,-0.007780140162666834,10.15664295258435
1024,17.92900409772176,-0.007777730390389827,10.15127370733193
1025,17.9212275367173,-0.007775230855451872,10.14599668126543
1026,17.91345352223673,-0.007772641547486748,10.14081197474998
1027,17.90568214429578,-0.007769962457900899,10.13571968639488
1028,17.89791349292537,-0.007767193579873693,10.13071991305168
1029,17.89014765816999,-0.007764334908357636,10.12581274981235
1030,17.88238473008606,-0.007761386440078532,10.12099829000753
1031,17.87462479874029,-0.007758348173535623,10.11627662520466
1032,17.86686795420805,-0.007755220109001719,10.11164784520633
1033,17.85911428657175,-0.007752002248523258,10.10711203804849
1034,17.85136388591921,-0.007748694595920346,10.10266928999886
1035,17.84361684234197,-0.007745297156786769,10.0983196855552
1036,17.83587324593375,-0.007741809938489976,10.09406330744378
1037,17.82813318678876,-0.007738232950171012,10.08990023661775
1038,17.82039675500005,-0.007734566202744414,10.08583055225564
1039,17.81266404065795,-0.007730809708898107,10.08185433175984
1040,17.80493513384836,-0.007726963483093242,10.07797165075512
1041,17.79721012465116,-0.007723027541563962,10.0741825830872
1042,17.78948910313856,-0.007719001902317219,10.07048720082134
1043,17.78177215937349,-0.007714886585132511,10.06688557424098
1044,17.77405938340794,-0.007710681611561558,10.06337777184639
1045,17.76635086528135,-0.007706387004927979,10.05996386035337
1046,17.75864669501895,-0.007702002790326946,10.056643904692
1047,17.7509469596136,-0.007697528991608225,10.05341796800538
1048,17.74325170344017,-0.007692965591791742,10.05028611164842
1049,17.7355610570311,-0.007688312661844364,10.04724839518674
1050,17.7278751097103,-0.007683570233314864,10.04430487639543
1051,17.72019395075298,-0.007678738339494913,10.04145561125806
1052,17.71251766938359,-0.007673817015418049,10.03870065396554
1053,17.70484635477371,-0.007668806297858602,10.03604005691511
1054,17.69718009603994,-0.007663706225330576,10.03347387070937
1055,17.68951898224175,-0.007658516838086483,10.03100214415527
1056,17.68186310237943,-0.007653238178116212,10.02862492426322
1057,17.67421254539195,-0.007647870289145747,10.0263422562462
1058,17.66656740015484,-0.007642413216635987,10.02415418351885
1059,17.6589277554781,-0.007636867007781397,10.0220607476967
1060,17.65129370010408,-0.007631231711508736,10.02006198859535
1061,17.6436653227054,-0.007625507378475685,10.01815794422971
1062,17.63604271188278,-0.007619694061069469,10.01634865081332
1063,17.62842595616299,-0.007613791813405415,10.01463414275757
1064,17.62081514399669,-0.007607800691325533,10.01301445267115
1065,17.61321036375638,-0.007601720752397,10.01148961135938
1066,17.60561170373422,-0.007595552055910636,10.01005964782359
1067,17.59801925213999,-0.007589294662879357,10.00872458926063
1068,17.59043309709893,-0.007582948636036584,10.00748446106235
1069,17.58285332664966,-0.007576514039834613,10.00633928681505
1070,17.57528002874204,-0.007569990940442945,10.00528908829909
1071,17.56771329123508,-0.007563379405746595,10.00433388548849
1072,17.56015320189486,-0.007556679505344375,10.00347369655049
1073,17.55259984839236,-0.007549891310547117,10.00270853784524
1074,17.54505335344173,-0.007543014929516225,10.00203842392551
1075,17.53751380979555,-0.007536050442259196,10.00146336753635
1076,17.52998127583509,-0.007528997896220165,10.00098337961493
1077,17.5224558397052,-0.00752185737041496,10.00059846929024
1078,17.5149375894814,-0.007514628945598393,10.00030864388301
1079,17.50742661316837,-0.007507312704262872,10.00011390890549
1080,17.4999229986985,-0.007499908730637089,10.00001426806141
1081,17.49242683393047,-0.007492417110684616,10.00000972324585
1082,17.48493820664777,-0.0074848379321025,10.00010027454526
1083,17.47745720455722,-0.007477171284319802,10.00028592023742
1084,17.46998391528756,-0.007469417258496078,10.00056665679148
1085,17.46251842638795,-0.007461575947519906,10.00094247886805
1086,17.45506082532653,-0.007453647446007281,10.00141337931925
1087,17.44761119948897,-0.007445631850300042,10.00197934918893
1088,17.440169636177,-0.00743752925846426,10.00264037771274
1089,17.43273622260694,-0.007429339770288525,10.00339645231842
1090,17.42531104590831,-0.007421063487282325,10.00424755862598
1091,17.41789419312224,-0.007412700512674219,10.00519368044802
1092,17.41048575120017,-0.007404250951410178,10.00623479978999
1093,17.40308580700228,-0.007395714910151696,10.00737089685058
1094,17.39569444729607,-0.007387092497274006,10.00860195002206
1095,17.38831175875491,-0.00737838382286419,10.00992793589072
1096,17.38093782795656,-0.007369588998719295,10.01134882923727
1097,17.37357274138176,-0.007360708138344375,10.01286460303739
1098,17.3662165854127,-0.00735174135695053,10.01447522846217
1099,17.35886944633161,-0.007342688771452897,10.01618067487871
1100,17.35153141031931,-0.007333550500468622,10.01798090985069
1101,17.34420250800084,-0.007324326608861886,10.01987589913896
1102,17.33688287082059,-0.00731501726411836,10.02186560670223
1103,17.32957258504013,-0.007305622590342385,10.02394999469774
1104,17.32227173569675,-0.00729614271221478,10.02612902348197
1105,17.31498040768942,-0.007286577756078014,10.02840265161141
1106,17.30769868577673,-0.00727692784993341,10.03077083584332
1107,17.30042665457495,-0.007267193123438343,10.03323353113661
1108,17.29316439855602,-0.007257373707903404,10.03579069065261
1109,17.28591200204559,-0.007247469736289523,10.03844226575607
1110,17.27866954922101,-0.007237481343205035,10.04118820601597
1111,17.27143712410934,-0.007227408664902771,10.04402845920657
1112,17.26421481058541,-0.007217251839277054,10.04696297130835
1113,17.25700269236975,-0.007207011005860673,10.04999168650907
1114,17.24980085302668,-0.00719668630582188,10.0531145472048
1115,17.24260937596231,-0.007186277881961261,10.05633149400104
1116,17.23542834442251,-0.007175785878708652,10.05964246571385
1117,17.22825784149096,-0.007165210442119966,10.063047399371
1118,17.22109795008718,-0.00715455171987403,10.06654623021315
1119,17.2139487529645,-0.007143809861269343,10.07013889169516
1120,17.2068103327081,-0.007132985017220864,10.07382531548723
1121,17.19968277173301,-0.007122077340256674,10.07760543147634
1122,17.19256615228215,-0.007111086984514682,10.08147916776747
1123,17.18546055642431,-0.007100014105739298,10.08544645068501
1124,17.17836606605217,-0.007088858861277984,10.08950720477419
1125,17.17128276288036,-0.007077621410077896,10.09366135280247
1126,17.16421072844341,-0.007066301912682386,10.09790881576102
1127,17.15715007371655,-0.007054900560850301,10.10224951286625
1128,17.15010089614326,-0.007043417534581956,10.10668336156131
1129,17.14306324229723,-0.007031852964779569,10.11121027751767
1130,17.13603719385542,-0.007020207019218678,10.11583017463674
1131,17.12902283234138,-0.007008479867289875,10.12054296505151
1132,17.12202023912401,-0.006996671679995832,10.12534855912818
1133,17.11502949541612,-0.006984782629948214,10.13024686546791
1134,17.10805068227323,-0.006972812891364686,10.13523779090854
1135,17.10108388059212,-0.006960762640065756,10.14032124052636
1136,17.09412917110962,-0.006948632053471696,10.14549711763792
1137,17.08718663440119,-0.006936421310599314,10.15076532380188
1138,17.08025635087965,-0.00692413059205882,10.15612575882083
1139,17.07333840079382,-0.006911760080050534,10.16157832074329
1140,17.06643286422722,-0.006899309958361666,10.16712290586555
1141,17.05953982109671,-0.006886780412362997,10.17275940873371
1142,17.05265935115121,-0.006874171629005552,10.17848772214566
1143,17.04579153397034,-0.006861483796817226,10.18430773715312
1144,17.0389364489631,-0.006848717105899402,10.19021934306369
1145,17.03209417536653,-0.006835871747923502,10.19622242744303
1146,17.02526479224442,-0.006822947916127521,10.2023168761169
1147,17.01844837848596,-0.006809945805312563,10.2085025731734
1148,17.0116450128044,-0.006796865611839255,10.21477940096515
1149,17.00485477373574,-0.006783707533624217,10.22114724011153
1150,16.99807773963742,-0.006770471770136478,10.22760596950095
1151,16.99131398868698,-0.006757158522393819,10.23415546629316
1152,16.98456359888068,-0.006743767992959103,10.24079560592157
1153,16.97782664803227,-0.006730300385936616,10.24752626209565
1154,16.97110314883509,-0.006716755842031798,10.2543473068033
1155,16.96439322523294,-0.006703134614919651,10.26125861031328
1156,16.9576969606347,-0.00668943691945697,10.26826004117773
